DATE,OPEN,HIGH,LOW,CLOSE,NO. OF SHARES,NO. OF TRADES
14-06-18,77.95,77.95,76.4,77.3,197476,1101
13-06-18,78.4,78.4,76.8,77,274437,1584
12-06-18,79.4,79.4,77.75,77.85,230353,1390
11-06-18,77.95,80.3,77.95,78.5,449692,1918
08-06-18,78,78.95,77.6,77.95,125683,1511
07-06-18,79.5,79.9,78.2,78.5,624723,1077
06-06-18,78.05,79.65,76.05,78,778569,1685
05-06-18,77,79.1,76.3,78.7,205808,1061
04-06-18,79.7,80,76.65,77.15,156565,1259
01-06-18,80.95,81.1,78.35,79.6,156859,979
31-05-18,83.5,83.5,80.6,81.2,267262,1151
30-05-18,82.45,83.9,81.5,82.2,203819,869
29-05-18,82.7,83.8,81.5,82.95,3002084,3068
28-05-18,81.4,82.9,80.7,82.3,183105,916
25-05-18,76.35,83,75.85,81.15,612448,2283
24-05-18,77.85,78,75.15,76.4,217373,1500
23-05-18,78.55,78.55,77,77.25,104336,763
22-05-18,78.95,79.1,77.6,78,96483,801
21-05-18,80.15,80.75,78.3,78.65,197470,1029
18-05-18,81.1,81.4,80.25,80.6,169346,668
17-05-18,81.2,82.3,80.75,81.5,145608,688
16-05-18,81.9,81.9,80.35,81.1,68399,464
15-05-18,81,82.1,80.35,81.2,131544,863
14-05-18,81.45,81.8,80.4,81.45,178245,859
11-05-18,81.35,82.2,80.7,81.45,250291,962
10-05-18,82.8,86,80.8,81.8,206053,1349
09-05-18,84.25,84.5,83,83.3,196648,732
08-05-18,85.45,86,82.75,84.2,720835,1532
07-05-18,85,86,84.45,85.05,174467,900
04-05-18,85.1,86.4,83.45,85,393536,1760
03-05-18,88.4,88.65,85,85.85,506096,2211
02-05-18,88.55,89.5,86.3,86.95,717977,2099
30-04-18,88,88.95,87.1,88.15,207942,1292
27-04-18,85.95,88.2,85.35,87.6,296245,1394
26-04-18,85.95,86.9,84.75,85.9,158072,794
25-04-18,84.5,86.65,84.5,85.75,168423,895
24-04-18,84.6,86.2,84.6,85.1,127012,690
23-04-18,86,86,84.6,85.25,128667,1079
20-04-18,86.9,86.9,85.6,85.85,110681,711
19-04-18,87.3,88.4,86.55,86.9,178650,839
18-04-18,87.9,88.3,87.05,87.65,198982,1218
17-04-18,87.65,87.9,87,87.4,238421,1294
16-04-18,87,88.15,85.9,87.65,154757,851
13-04-18,87.1,88.65,87.1,87.5,175578,923
12-04-18,86.1,88.45,86.1,87.6,596041,2277
11-04-18,87.15,88,85.9,86.75,218166,941
10-04-18,85.1,87.6,84.1,87.1,1702239,2687
09-04-18,84,85.3,83.95,85.05,162161,656
06-04-18,83.95,84.8,82.65,84.25,188080,928
05-04-18,83.3,84.7,83.3,83.5,230482,1257
04-04-18,84.35,85.9,82.6,82.95,225879,1429
03-04-18,81.9,84.55,81.5,84.35,277562,1372
02-04-18,78.1,82.1,78.1,81.9,202235,1146
28-03-18,80,80.35,78.8,79.35,311940,1440
27-03-18,80.85,81.5,79.75,80,215567,948
26-03-18,80.75,81.2,78.85,79.95,401740,1834
23-03-18,79.35,80.15,78.1,79.75,249515,929
22-03-18,79.7,80.25,79.65,80.05,1362213,887
21-03-18,80.2,80.6,79.6,79.85,226794,1019
20-03-18,78.75,80.3,78.75,80.15,256210,963
19-03-18,80.45,80.5,78.8,79.3,210939,1053
16-03-18,80.2,80.65,79.7,79.95,185958,783
15-03-18,80.35,81.15,79.9,80.2,304123,914
14-03-18,81.3,81.5,80,80.35,652412,1245
13-03-18,80.5,82.1,80.25,81.3,528704,1449
12-03-18,80.5,80.9,79.95,80.65,558240,1173
09-03-18,79.9,81.5,79.55,79.9,503324,1764
08-03-18,78.9,80.3,77,79.9,1355700,3465
07-03-18,81,81.7,78.85,79.05,1616649,2010
06-03-18,82.9,83.1,81.35,81.75,301689,1101
05-03-18,84.3,84.5,81.4,82.1,328458,1597
01-03-18,85,85.8,84,84.2,772285,2216
28-02-18,85.2,85.75,84.05,84.6,267087,947
27-02-18,85.3,86.8,85.3,85.8,217084,725
26-02-18,85.75,87,85.5,85.8,397934,1276
23-02-18,84.5,86.2,84.5,85.65,297730,1211
22-02-18,86.25,87,83.7,85.05,243237,1454
21-02-18,85.55,87.8,84.65,86.05,323073,1609
20-02-18,86,86.8,85.5,86.25,279617,1789
19-02-18,86.55,86.75,85,85.8,268765,1324
16-02-18,86.3,87.3,85.8,86.55,299017,1535
15-02-18,88,88.25,85.6,86.3,379792,2047
12-02-18,85.75,87.3,85.3,86.8,314872,2506
09-02-18,83.5,85.9,82.8,85.1,400281,2157
08-02-18,84,86.15,84,85.1,422375,2606
07-02-18,82.9,86.3,82.9,84.75,651671,2840
06-02-18,83,84.05,80,82.8,1366736,7158
05-02-18,83.9,85.5,82,85,907237,3487
02-02-18,88.6,88.9,84.4,84.85,831867,4269
01-02-18,89.2,90.85,87.55,89.6,1083216,3963
31-01-18,90.5,91.15,88.65,89.1,396969,1826
30-01-18,89.95,91.35,88.2,90.6,605841,2430
29-01-18,90.3,91.05,89.6,90,399643,1745
25-01-18,91,92.65,89.6,90.15,407715,2523
24-01-18,92.5,92.85,91,91.7,401460,2260
23-01-18,92,93.4,91.9,92.5,656883,2542
22-01-18,92.5,92.7,91,91.9,525700,1931
19-01-18,90.65,92.5,90.35,92.25,615937,2059
18-01-18,94.4,94.5,90.1,90.6,901722,3014
17-01-18,93.75,93.95,91.4,93.25,531829,2433
16-01-18,97.85,98.45,93,93.75,1076395,3416
15-01-18,99.1,99.9,97.55,97.85,490634,1668
12-01-18,100.25,101.1,97.55,99.1,820872,2706
11-01-18,99,100.25,97.9,99.55,661049,2258
10-01-18,99,99.9,97.15,98.3,679717,2212
09-01-18,100.05,101.5,98.25,98.6,955283,3056
08-01-18,100.45,100.5,99,99.9,779976,2347
05-01-18,100,101.75,99.3,99.6,746340,2854
04-01-18,101,101.4,99.35,99.7,760379,2643
03-01-18,100.5,101.55,99.75,100.8,1843821,7605
02-01-18,98.1,100,96.1,99.45,2612069,8448
01-01-18,94.05,99.8,92.5,97.15,3925749,12023
29-12-17,92.5,94.7,92.4,93.85,850365,3247
28-12-17,93.4,93.45,91.75,92.3,744939,2601
27-12-17,93.95,94.3,91.7,92.3,791704,2370
26-12-17,96,96.2,92.8,93.3,1033715,3963
22-12-17,91.7,93.9,91,93.05,1227571,4397
21-12-17,90.6,91.75,90.6,91,3558868,1638
20-12-17,91.1,91.95,90.55,91,1563465,1523
19-12-17,91.65,91.9,90.65,91,3451905,1462
18-12-17,90,92.9,88.45,91,6137225,3279
15-12-17,91.9,92,90.85,91.25,319996,1639
14-12-17,90.3,91,89.4,90.5,301904,1533
13-12-17,90.05,91.6,89.9,90.3,508314,1961
12-12-17,93.3,93.3,90.5,90.75,516458,2652
11-12-17,92.3,94,90.45,93.55,762295,2822
08-12-17,91.05,95,91.05,91.65,962633,3365
07-12-17,88,91.1,87.85,90.8,977627,3433
06-12-17,88.35,90.2,87.15,87.5,558026,1766
05-12-17,89.9,90.05,88.15,88.9,524957,1833
04-12-17,91.1,91.75,89.3,89.9,445634,1970
01-12-17,95,95.65,89.9,90.35,854909,2979
30-11-17,95,95.7,93.7,94.7,687404,2254
29-11-17,95.75,97.05,94.35,94.9,742168,3111
28-11-17,95.85,96.9,94.6,95.9,2256181,4708
27-11-17,93.7,95.85,92.5,95.25,991999,3873
24-11-17,93,94.3,92.65,93.8,645380,2263
23-11-17,93.3,94.95,92.2,93.2,818497,3345
22-11-17,92.8,93.45,90.35,93,953143,3623
21-11-17,92,94.5,91.95,92.85,1492718,5987
20-11-17,89.45,92.4,89.05,91.75,1770479,8386
16-11-17,82.6,85.2,82.5,84.7,546853,2740
15-11-17,82.2,82.75,81.65,82.05,279398,1613
14-11-17,81.7,83.9,81.6,81.75,212565,1128
13-11-17,83,83.4,81.7,82,230014,1085
10-11-17,83.05,84.1,82.4,82.85,232583,1096
09-11-17,83.6,84.4,82.75,83.65,231831,1119
08-11-17,83.8,84.5,83,83.15,297250,1482
07-11-17,85.5,86.65,82.55,82.95,422486,2146
06-11-17,84.05,86.35,83.7,85.5,831011,4714
03-11-17,85.5,88.4,83.8,84.55,2714586,11395
02-11-17,85.5,85.6,84.05,84.75,369252,1825
01-11-17,85.2,86.15,84.45,85.15,543516,2363
31-10-17,86.75,86.75,84.55,84.8,482678,2334
30-10-17,85.4,87.4,85.4,86,663044,2994
27-10-17,82.15,85.75,82.15,85.25,2054669,5466
26-10-17,82.5,83.4,82,82.35,305600,1344
25-10-17,82.05,83.75,81.9,82.3,452251,2016
24-10-17,81.7,82.5,81.5,82.1,216656,1314
23-10-17,81.6,82,81.25,81.75,142549,739
19-10-17,82.25,82.6,81.1,81.75,118080,735
17-10-17,81.9,82,81.5,81.6,161916,719
16-10-17,81.2,82.2,81.2,81.75,277762,1651
13-10-17,82.5,82.5,81.45,81.6,315643,1672
12-10-17,81.5,82.1,80.55,81.7,319533,1673
11-10-17,81.7,82.55,80.5,81,450613,1998
10-10-17,81.6,82.05,81.3,81.55,373063,2010
09-10-17,80.25,82.1,80.25,81.45,608900,2307
06-10-17,79.05,80.65,79.05,80.45,347049,1519
05-10-17,77.8,79.15,77.8,78.95,226920,1236
04-10-17,77.35,78.35,77.35,78.05,279109,1510
03-10-17,78.4,79.5,77.1,77.35,450602,2027
29-09-17,77.6,78.65,77.3,77.75,507782,2145
28-09-17,78.05,78.9,77.35,77.7,527279,2813
27-09-17,80.6,80.9,78,78.35,560639,2884
26-09-17,83,83.5,79.7,80.05,699842,3740
25-09-17,81.55,82.6,80.5,81.95,890857,3869
22-09-17,83,83,80.15,80.5,488099,2660
21-09-17,84.5,84.5,82.9,83.2,375325,2299
20-09-17,86.1,86.5,83.9,84.15,903190,3271
19-09-17,83.55,85.75,82.6,84.85,740548,3782
18-09-17,84.5,85.3,83.5,83.8,498076,2127
15-09-17,84.9,85,83.9,84.4,632983,2838
14-09-17,85.2,87.3,84.9,85.4,1286473,5686
13-09-17,84.9,86.7,83.7,84.8,3683052,14942
12-09-17,81.2,81.8,80.75,80.95,517102,2322
11-09-17,77.55,80.75,77.55,80.45,748560,3273
08-09-17,77.65,78.25,76.8,76.95,256822,1609
07-09-17,78.05,78.4,77.4,77.8,375331,1454
06-09-17,78,78.7,77.9,78.05,140692,745
05-09-17,78.75,79,78.05,78.3,256888,1120
04-09-17,80,80,78.1,78.65,234736,1311
01-09-17,79,80.5,79,79.75,340063,1682
31-08-17,77.5,79.45,77.5,79.1,306294,1520
30-08-17,77.2,77.95,77.05,77.6,157130,1185
29-08-17,80.7,80.7,76.7,76.9,424843,3243
28-08-17,79,79.55,78.5,78.9,146128,997
24-08-17,79.1,80.85,78.95,79.25,446137,2635
23-08-17,80,80.2,78.65,78.8,180881,1086
22-08-17,80.5,81.35,79.55,79.95,191398,945
21-08-17,80,80.9,80,80.1,152544,886
18-08-17,81,81.2,80.1,80.3,180126,1795
17-08-17,82.85,82.85,81,81.35,279702,1647
16-08-17,81.8,83.55,81.5,82.15,1013775,4564
14-08-17,76.95,81.15,76.5,79.5,645453,3550
11-08-17,76,77,75.9,76.65,117085,618
10-08-17,77.05,77.75,76,77.05,171211,1135
09-08-17,78.05,78.15,77.15,77.75,190719,1027
08-08-17,80.85,80.85,78.15,78.25,152651,755
07-08-17,80.25,80.85,79.8,80,146512,768
04-08-17,82,82.65,79.75,80.25,231757,1228
03-08-17,82,83.4,82,82.6,156682,885
02-08-17,83.1,83.1,82.2,82.6,85219,542
01-08-17,81.85,83.15,81.75,82.75,126742,837
31-07-17,82.5,82.7,81.25,81.85,198224,815
28-07-17,82.5,82.5,81.2,81.8,143445,817
27-07-17,83,83.1,81.6,81.95,130874,821
26-07-17,84,84,81.8,82.35,177767,965
25-07-17,83.8,83.8,82.55,82.8,77719,431
24-07-17,83,83.5,82.75,83,125115,642
21-07-17,83.2,83.5,82.5,83.3,173833,692
20-07-17,83.5,83.5,82.5,82.75,165368,747
19-07-17,82.4,83.2,81.95,82.95,250086,1199
18-07-17,83.4,83.95,82.1,82.4,153145,671
17-07-17,82.95,84.1,82.95,83.3,207402,927
14-07-17,83.9,83.9,82.75,82.95,307113,784
13-07-17,83.9,83.9,82.95,83.25,149432,855
12-07-17,83.95,83.95,82.8,83.05,142553,801
11-07-17,83.65,84.05,82.75,83,240835,1457
10-07-17,82.25,83.65,82.25,83.45,1403887,7464
07-07-17,82.45,82.9,81.3,81.55,183153,1220
06-07-17,81.6,82.5,81.6,81.95,133852,824
05-07-17,82,82.3,81.3,81.6,276258,947
04-07-17,80.95,81.5,80.75,81.1,210337,896
03-07-17,80.5,81,79.9,80.35,207262,1467
30-06-17,81,81.45,80.3,80.55,207381,1149
29-06-17,81.7,82.6,80.9,81.5,250874,1212
28-06-17,82,82,80.95,81.6,242046,1321
27-06-17,82,83.9,80.85,81.05,335243,2343
23-06-17,82.65,82.85,81.15,81.4,291375,1098
22-06-17,81.85,83.4,80.8,82.45,943363,3854
21-06-17,82.35,82.5,81.35,81.8,360001,1535
20-06-17,78.05,82.5,78,82.15,988549,5152
19-06-17,78.25,78.7,77.2,78,183812,665
